District,usaono,defno,branch,progcat,priority,appealtype,collindc,casestat,ausa,littype,defstatus,defstatdt,matterdt,compdt,arrestdt,casedt,courtno,courtappeal,crttype,judge,casetype,caseweight,litresp,ldcharge,offensedt,cntrlsub,mbrseized,qtyseized,defdispdt,defdisp,defdpreas,invagency,invagencyno,dojdiv,dojno,factno,filler9,terrindic,evnt,evntdt,evntact,relusaonbr,realdefnbr,chgtype,totalcounts,errindc,filename,estdollar,errnojc,bondtype,bondamt,errindj,fine,errindj1,suspfine,errindj2,sentdt,susp,incar,incarsusp,sentsec,probation,sysdisdt,syseousadt,acrecvdt,acfiledt,accttermdt,progagcy,progagcyno,lateclosing,dcmns,lionsno,distseq,distname,disthicode,agcy,cca,mrrf,mrmf,mprf,mpmf,mtrf,mtmf,cfrf,cfcf,cprf,cpcf,ctrf,ctcf,irf,irc,ibrf,ibmf,crtrf,ctrcf,citrf,citcf,scrher,par dis,par div,rectype,disname2,nodis,alphadis,ID
AK,87R1023,1,1,90,,,,O,JWB,,FU,870210,870210,,,870210,*******,,DC,,,,US,,870126,,,,,,,JUMS,*************,,,,,,GRJU,870210,FI,86R1354,1,IN,1,,**** *** **** ******* *******,,,,,,,,,,,,,,,,941230,941231,870228,870228,,,,,,,,ALASKA,60,Q,1,,,,,,,,,1,1,,,,,,,,,,,0A,6,0,1,,,,1
AK,88R0082,7,1,06B,,,,O,JWB,,FU,901017,880429,,,881012,*********,,DC,,,,US,,870412,,,,,,,CDOA,********,,,,,,CORR,901017,CN,,,IN,3,,**** *** ****** **** ****,,,,,,,,,,,,,,,,950418,950430,881031,881031,,,,,,,,ALASKA,60,B,7,,,,,,,,,1,1,,,,,,,,,,,0A,6,0,1,,,,2
AK,89R0022,1,1,36,,,,O,LB,,,,890131,,,941116,*********,,DC,JKS,,,US,,840606,,,,,,,JUFB,***********,,,,,,CASE,970107,CN,,,S2,41,,**** *** ***** ** ********* **,230000000,,,,,,,,,,,,,,,970113,970131,890131,941130,,ZFDI,*** *********,,94-165127-0,,,ALASKA,60,O,4,,,,,,,,,1,1,,,,,,,,,,,0A,6,0,1,,,,3
AK,89R0022,2,1,36,,,,O,LB,,FU,950126,890131,,,941116,*********,,DC,JKS,,,US,,840601,,,,,,,JUFB,***********,,,,,,MOTS,950412,GR,,,S2,41,,**** *** ******** * **********,230000000,,,,,,,,,,,,,,,950523,950531,950131,950131,,ZFDI,*** *********,,94-165127-0,,,ALASKA,60,O,4,,,,,,,,,1,,,,,,,,,,,,0A,6,0,1,,,,4
AK,89R0022,3,1,36,,,,O,LB,,,,890131,,,941116,*********,,DC,JKS,,,US,,840601,,,,,,,JUFB,***********,,,,,,CASE,970107,CN,,,S2,41,,**** *** ***** ********* ****,230000000,,,,,,,,,,,,,,,970113,970131,950331,950331,,ZFDI,*** *********,,94-165127-0,,,ALASKA,60,O,4,,,,,,,,,1,,,,,,,,,,,,0A,6,0,1,,,,5
AK,89R0022,4,1,36,,,,O,LB,,,,890131,,,941116,*********,,DC,JKS,,,US,,840601,,,,,,,JUFB,***********,,,,,,CASE,970107,CN,,,S2,41,,**** *** ***** ********* ****,230000000,,,,,,,,,,,,,,,970113,970131,950331,950331,,ZFDI,*** *********,,94-165127-0,,,ALASKA,60,O,4,,,,,,,,,1,,,,,,,,,,,,0A,6,0,1,,,,6
AK,89R0022,5,1,36,,,,O,LB,,,,890131,,,941116,*********,,DC,JKS,,,US,,840601,,,,,,,JUFB,***********,,,,,,CASE,970107,CN,,,S2,41,,**** *** ***** ********* ****,230000000,,,,,,,,,,,,,,,970113,970131,950331,950331,,ZFDI,*** *********,,94-165127-0,,,ALASKA,60,O,4,,,,,,,,,1,,,,,,,,,,,,0A,6,0,1,,,,7
AK,91R0180,1,1,54,,,,O,MAR,,FU,911015,910619,,,910709,*********,,DC,,,,US,,910607,C,,,,,,TRAT,***** *******,,,,,,WARR,911015,FI,,,IN,3,,**** *** ****** ******,,,,,,,,,,,,,,,,930803,930831,910630,910731,,,,,,,,ALASKA,60,N,1,,,,,,,,,1,1,,,,,,,,,,,0A,6,0,1,,,,9
AK,91R0195,9,1,47,,,,O,SCH,,FU,911226,910710,,,910912,*********,,DC,,,,US,,901020,M,,,,,,JUDE,**********,ZNTF,NW AK 006,,,,CORR,911226,CN,,,S1,29,,**** *** ***** ****** ****,,,,,,,,,,,,,,,,930323,930331,910930,910930,,,,,,,,ALASKA,60,K,1,,,,,,,,,1,1,,,,,,,,,,,0A,6,0,1,,,,10
AK,91R0195,10,1,47,,,,O,SCH,,FU,911226,910710,,,910912,*********,,DC,,,,US,,860402,M,,,,,,JUDE,**********,ZNTF,NW AK 006,,,,CORR,911226,CN,,,S1,29,,**** *** ***** ****** ****,,,,,,,,,,,,,,,,930323,930331,910930,910930,,,,,,,,ALASKA,60,K,1,,,,,,,,,1,,,,,,,,,,,,0A,6,0,1,,,,11
