"Name::label","X1 Relative Compactness::number","X2 Surface Area::number","X3 Wall Area::number","X4 Roof Area::number","X5 Overall Height::number","X6 Orientation::number","X7 Glazing Area::number","X8 Glazing Area Distribution::number","y1 Heating Load::number","y2 Cooling Load::number"
"Row    1","0.98","514.5","294","110.25","7","2","0","0","15.55","21.33"
"Row    2","0.98","514.5","294","110.25","7","3","0","0","15.55","21.33"
"Row    3","0.98","514.5","294","110.25","7","4","0","0","15.55","21.33"
"Row    4","0.98","514.5","294","110.25","7","5","0","0","15.55","21.33"
"Row    5","0.9","563.5","318.5","122.5","7","2","0","0","20.84","28.28"
"Row    6","0.9","563.5","318.5","122.5","7","3","0","0","21.46","25.38"
"Row    7","0.9","563.5","318.5","122.5","7","4","0","0","20.71","25.16"
"Row    8","0.9","563.5","318.5","122.5","7","5","0","0","19.68","29.6"
"Row    9","0.86","588","294","147","7","2","0","0","19.5","27.3"
"Row   10","0.86","588","294","147","7","3","0","0","19.95","21.97"
"Row   11","0.86","588","294","147","7","4","0","0","19.34","23.49"
"Row   12","0.86","588","294","147","7","5","0","0","18.31","27.87"
"Row   13","0.82","612.5","318.5","147","7","2","0","0","17.05","23.77"
"Row   14","0.82","612.5","318.5","147","7","3","0","0","17.41","21.46"
"Row   15","0.82","612.5","318.5","147","7","4","0","0","16.95","21.16"
"Row   16","0.82","612.5","318.5","147","7","5","0","0","15.98","24.93"
"Row   17","0.79","637","343","147","7","2","0","0","28.52","37.73"
"Row   18","0.79","637","343","147","7","3","0","0","29.9","31.27"
"Row   19","0.79","637","343","147","7","4","0","0","29.63","30.93"
"Row   20","0.79","637","343","147","7","5","0","0","28.75","39.44"
"Row   21","0.76","661.5","416.5","122.5","7","2","0","0","24.77","29.79"
"Row   22","0.76","661.5","416.5","122.5","7","3","0","0","23.93","29.68"
"Row   23","0.76","661.5","416.5","122.5","7","4","0","0","24.77","29.79"
"Row   24","0.76","661.5","416.5","122.5","7","5","0","0","23.93","29.4"
"Row   25","0.74","686","245","220.5","3.5","2","0","0","6.07","10.9"
"Row   26","0.74","686","245","220.5","3.5","3","0","0","6.05","11.19"
"Row   27","0.74","686","245","220.5","3.5","4","0","0","6.01","10.94"
"Row   28","0.74","686","245","220.5","3.5","5","0","0","6.04","11.17"
"Row   29","0.71","710.5","269.5","220.5","3.5","2","0","0","6.37","11.27"
"Row   30","0.71","710.5","269.5","220.5","3.5","3","0","0","6.4","11.72"
